id_movie,return,title,name_director,release_date,revenue,budget
203835,0.0,Amityville: The Awakening,['Franck Khalfoun'],2017-06-30,0.0,0.0
273477,0.9907177333333334,Scouts Guide to the Zombie Apocalypse,['Christopher B. Landon'],2015-10-23,14860766.0,15000000.0
180,3.5134600588235294,Minority Report,['Steven Spielberg'],2002-06-20,358372926.0,102000000.0
188927,1.8566044108108108,Star Trek Beyond,['Justin Lin'],2016-07-07,343471816.0,185000000.0
57158,3.8336,The Hobbit: The Desolation of Smaug,['Peter Jackson'],2013-12-11,958400000.0,250000000.0
277,4.350384409090909,Underworld,['Len Wiseman'],2003-09-19,95708457.0,22000000.0
189,0.6062710153846154,Sin City: A Dame to Kill For,"['Robert Rodriguez', 'Frank Miller']",2014-08-20,39407616.0,65000000.0
49026,4.339756396,The Dark Knight Rises,['Christopher Nolan'],2012-07-16,1084939099.0,250000000.0
254128,4.277189381818181,San Andreas,['Brad Peyton'],2015-05-27,470490832.0,110000000.0
2062,4.15815212,Ratatouille,"['Jan Pinkava', 'Brad Bird']",2007-06-22,623722818.0,150000000.0
418078,0.0,It Comes at Night,['Trey Edward Shults'],2017-06-09,0.0,5000000.0
109491,1.0008689666666666,Beautiful Creatures,['Richard LaGravenese'],2013-02-13,60052138.0,60000000.0
101,2.830310875,Leon: The Professional,['Luc Besson'],1994-09-14,45284974.0,16000000.0
2502,3.84666956,The Bourne Supremacy,['Paul Greengrass'],2004-07-23,288500217.0,75000000.0
461053,0.0,S.W.A.T.: Under Siege,['Tony Giglio'],2017-08-01,0.0,0.0
270303,7.337038,It Follows,['David Robert Mitchell'],2015-02-04,14674076.0,2000000.0
15163,0.0,Amazing Grace,['Michael Apted'],2006-09-16,0.0,0.0
273248,3.5400026590909093,The Hateful Eight,['Quentin Tarantino'],2015-12-25,155760117.0,44000000.0
37724,5.542805065,Skyfall,['Sam Mendes'],2012-10-25,1108561013.0,200000000.0
274870,2.7558559272727274,Passengers,['Morten Tyldum'],2016-12-21,303144152.0,110000000.0
744,23.78870673333333,Top Gun,['Tony Scott'],1986-05-16,356830601.0,15000000.0
293768,1.1679599047619047,Kidnap,['Luis Prieto'],2017-08-04,24527158.0,21000000.0
752,2.4539080555555555,V for Vendetta,['James McTeigue'],2006-03-15,132511035.0,54000000.0
278154,3.891228933333333,Ice Age: Collision Course,"['Mike Thurmeier', 'Galen T. Chu']",2016-06-23,408579038.0,105000000.0
76812,0.0,Black Butterfly,['Brian Goodman'],2017-05-26,0.0,0.0
335797,8.43258292,Sing,['Garth Jennings'],2016-11-23,632443719.0,75000000.0
70160,9.21614256,The Hunger Games,['Gary Ross'],2012-03-12,691210692.0,75000000.0
346672,2.3169518,Underworld: Blood Wars,['Anna Foerster'],2016-11-28,81093313.0,35000000.0
17774,0.0,Derailed,['Bob Misiorowski'],2002-05-19,0.0,0.0
497,4.743333333333333,The Green Mile,['Frank Darabont'],1999-12-10,284600000.0,60000000.0
326285,0.0,American Pastoral,['Ewan McGregor'],2016-10-20,0.0,0.0
146,12.560337411764706,"Crouching Tiger, Hidden Dragon",['Ang Lee'],2000-10-01,213525736.0,17000000.0
259695,0.2099866203703703,Live by Night,['Ben Affleck'],2016-12-25,22678555.0,108000000.0
646,62.73684210526316,Dr. No,['Terence Young'],1962-10-04,59600000.0,950000.0
74,4.482874083333333,War of the Worlds,['Steven Spielberg'],2005-06-28,591739379.0,132000000.0
207,14.381714390243902,Dead Poets Society,['Peter Weir'],1989-06-02,235860116.0,16400000.0
85,21.662553944444443,Raiders of the Lost Ark,['Steven Spielberg'],1981-06-12,389925971.0,18000000.0
5968,0.0,The Woman in Red,['Gene Wilder'],1984-08-15,0.0,25300000.0
640,6.771429076923077,Catch Me If You Can,['Steven Spielberg'],2002-12-25,352114312.0,52000000.0
10585,4.910742666666667,Child's Play,['Tom Holland'],1988-11-08,44196684.0,9000000.0
301875,0.13028925,Equals,['Drake Doremus'],2015-07-15,2084628.0,16000000.0
150689,5.721203715789474,Cinderella,['Kenneth Branagh'],2015-03-12,543514353.0,95000000.0
68718,4.25368238,Django Unchained,['Quentin Tarantino'],2012-12-25,425368238.0,100000000.0
254,2.657004830917874,King Kong,['Peter Jackson'],2005-12-14,550000000.0,207000000.0
578,67.23628571428571,Jaws,['Steven Spielberg'],1975-06-18,470654000.0,7000000.0
313369,14.847856666666669,La La Land,['Damien Chazelle'],2016-11-29,445435700.0,30000000.0
12271,0.0,Factory Girl,['George Hickenlooper'],2006-12-29,0.0,7000000.0
225574,4.456192,Non-Stop,['Jaume Collet-Serra'],2014-01-26,222809600.0,50000000.0
72105,10.9873663,Ted,['Seth MacFarlane'],2012-06-29,549368315.0,50000000.0
197796,1.4878787878787878,Beauty and the Beast,['Christophe Gans'],2014-02-12,49100000.0,33000000.0
694,2.316703894736842,The Shining,['Stanley Kubrick'],1980-05-22,44017374.0,19000000.0
184315,2.434,Hercules,['Brett Ratner'],2014-07-23,243400000.0,100000000.0
616,3.26256415,The Last Samurai,['Edward Zwick'],2003-12-05,456758981.0,140000000.0
10679,1.0846708,Iron Sky,['Timo Vuorensola'],2012-03-10,8135031.0,7500000.0
181533,2.751372299212598,Night at the Museum: Secret of the Tomb,['Shawn Levy'],2014-12-17,349424282.0,127000000.0
37686,5.20191974,Super 8,['J.J. Abrams'],2011-06-08,260095987.0,50000000.0
11532,0.0,The Emerald Forest,['John Boorman'],1985-06-26,24467000.0,0.0
273481,2.800860533333333,Sicario,['Denis Villeneuve'],2015-09-17,84025816.0,30000000.0
1891,29.91111111111111,The Empire Strikes Back,['Irvin Kershner'],1980-05-17,538400000.0,18000000.0
102651,4.214109916666667,Maleficent,['Robert Stromberg'],2014-05-28,758539785.0,180000000.0
375794,0.0,No manches Frida,['Nacho G. Velilla'],2016-09-02,0.0,0.0
27586,0.2995811,The Runaways,['Floria Sigismondi'],2010-03-19,2995811.0,10000000.0
9738,3.30579719,Fantastic Four,['Tim Story'],2005-06-29,330579719.0,100000000.0
601,75.52050723809523,E.T. the Extra-Terrestrial,['Steven Spielberg'],1982-04-03,792965326.0,10500000.0
627,4.12277,Trainspotting,['Danny Boyle'],1996-02-23,16491080.0,4000000.0
14160,4.200566182857143,Up,['Pete Docter'],2009-05-13,735099082.0,175000000.0
1771,2.646926957142857,Captain America: The First Avenger,['Joe Johnston'],2011-07-22,370569774.0,140000000.0
1969,0.2998947714285714,Bandidas,"['Joachim Rønning', 'Espen Sandberg']",2006-01-18,10496317.0,35000000.0
218,12.2455,The Terminator,['James Cameron'],1984-10-26,78371200.0,6400000.0
39254,2.7206228,Real Steel,['Shawn Levy'],2011-09-28,299268508.0,110000000.0
280996,0.0,Mr. Holmes,['Bill Condon'],2015-06-19,29355203.0,0.0
923,84.61538461538461,Dawn of the Dead,['George A. Romero'],1978-09-02,55000000.0,650000.0
307663,0.0,Vice,['Brian A Miller'],2015-01-16,0.0,10000000.0
190859,9.222915357142858,American Sniper,['Clint Eastwood'],2014-12-11,542307423.0,58800000.0
292280,3.60367527027027,The Bye Bye Man,['Stacy Title'],2017-01-12,26667197.0,7400000.0
17578,2.861077469230769,The Adventures of Tintin,['Steven Spielberg'],2011-10-25,371940071.0,130000000.0
260514,2.000971754285714,Cars 3,['Brian Fee'],2017-06-15,350170057.0,175000000.0
11679,1.1845655333333334,xXx: State of the Union,['Lee Tamahori'],2005-04-27,71073932.0,60000000.0
324668,3.4623742833333333,Jason Bourne,['Paul Greengrass'],2016-07-27,415484914.0,120000000.0
1724,1.0914138266666666,The Incredible Hulk,['Louis Leterrier'],2008-06-12,163712074.0,150000000.0
268,11.7528264,Batman,['Tim Burton'],1989-06-23,411348924.0,35000000.0
1949,1.3043986769230769,Zodiac,['David Fincher'],2007-03-02,84785914.0,65000000.0
767,3.735836788,Harry Potter and the Half-Blood Prince,['David Yates'],2009-07-07,933959197.0,250000000.0
10138,3.119666655,Iron Man 2,['Jon Favreau'],2010-04-28,623933331.0,200000000.0
955,4.37110484,Mission: Impossible II,['John Woo'],2000-05-24,546388105.0,125000000.0
9792,4.641580866666667,The Hills Have Eyes,['Alexandre Aja'],2006-03-10,69623713.0,15000000.0
15255,0.0,Undisputed II: Last Man Standing,['Isaac Florentine'],2006-04-11,0.0,0.0
254302,0.0,High-Rise,['Ben Wheatley'],2015-11-22,346472.0,0.0
2059,3.47451894,National Treasure,['Jon Turteltaub'],2004-11-19,347451894.0,100000000.0
2133,2.714638641666667,The Perfect Storm,['Wolfgang Petersen'],2000-03-15,325756637.0,120000000.0
340666,1.3001323555555555,Nocturnal Animals,['Tom Ford'],2016-11-04,29252978.0,22500000.0
920,3.849859575,Cars,"['John Lasseter', 'Joe Ranft']",2006-06-08,461983149.0,120000000.0
36648,1.983159476923077,Blade: Trinity,['David S. Goyer'],2004-12-08,128905366.0,65000000.0
27,1.574623,9 Songs,['Michael Winterbottom'],2004-07-16,1574623.0,1000000.0
2005,7.471133870967741,Sister Act,['Emile Ardolino'],1992-05-28,231605150.0,31000000.0
1573,3.4290156285714284,Die Hard 2,['Renny Harlin'],1990-07-02,240031094.0,70000000.0
267935,1.30961135,The BFG,['Steven Spielberg'],2016-06-01,183345589.0,140000000.0
568,6.831498711538462,Apollo 13,['Ron Howard'],1995-06-30,355237933.0,52000000.0
58595,2.3329411764705883,Snow White and the Huntsman,['Rupert Sanders'],2012-05-30,396600000.0,170000000.0
100402,4.204509247058824,Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']",2014-03-20,714766572.0,170000000.0
345915,0.0,Once Upon a Time in Venice,['Mark Cullen'],2017-06-08,0.0,0.0
58574,2.67692,Sherlock Holmes: A Game of Shadows,['Guy Ritchie'],2011-11-22,334615000.0,125000000.0
13486,0.0,The Scorpion King: Rise of a Warrior,['Russell Mulcahy'],2008-07-19,0.0,0.0
9982,2.096217766666667,Chicken Little,['Mark Dindal'],2005-11-04,314432665.0,150000000.0
374473,0.0,"I, Daniel Blake",['Ken Loach'],2016-10-21,260354.0,0.0
591,6.142563672,The Da Vinci Code,['Ron Howard'],2006-05-17,767820459.0,125000000.0
15159,0.0,The Pink Panther 2,['Harald Zwart'],2009-02-06,75871032.0,0.0
10711,0.0,French Connection II,['John Frankenheimer'],1975-05-18,12484444.0,0.0
49521,2.94598008,Man of Steel,['Zack Snyder'],2013-06-12,662845518.0,225000000.0
1422,3.2205261555555555,The Departed,['Martin Scorsese'],2006-10-05,289847354.0,90000000.0
12244,1.6142687666666666,9,['Shane Acker'],2009-08-19,48428063.0,30000000.0
49047,6.822787666666667,Gravity,['Alfonso Cuarón'],2013-09-27,716392705.0,105000000.0
106,5.457530444444444,Predator,['John McTiernan'],1987-06-11,98235548.0,18000000.0
91314,5.1971671285714285,Transformers: Age of Extinction,['Michael Bay'],2014-06-25,1091405097.0,210000000.0
138832,7.297138351351351,We're the Millers,['Rawson Marshall Thurber'],2013-08-07,269994119.0,37000000.0
324560,0.0,Brimstone,['Martin Koolhoven'],2017-01-12,0.0,0.0
11544,1.8221440875,Lilo & Stitch,"['Dean DeBlois', 'Chris Sanders']",2002-06-21,145771527.0,80000000.0
9543,2.234364286666666,Prince of Persia: The Sands of Time,['Mike Newell'],2010-05-19,335154643.0,150000000.0
807,9.91854118181818,Se7en,['David Fincher'],1995-09-22,327311859.0,33000000.0
10538,2.9377102,Passenger 57,['Kevin Hooks'],1992-11-05,44065653.0,15000000.0
745,16.8201573,The Sixth Sense,['M. Night Shyamalan'],1999-08-06,672806292.0,40000000.0
133805,2.746476266666667,Carrie,['Kimberly Peirce'],2013-10-16,82394288.0,30000000.0
262504,1.6295169818181818,Allegiant,['Robert Schwentke'],2016-03-09,179246868.0,110000000.0
2105,21.40754581818182,American Pie,"['Chris Weitz', 'Paul Weitz']",1999-07-09,235483004.0,11000000.0
6068,2.342857142857143,Six Days Seven Nights,['Ivan Reitman'],1998-06-12,164000000.0,70000000.0
207932,2.9336167866666667,Inferno,['Ron Howard'],2016-10-13,220021259.0,75000000.0
141,0.2117536666666666,Donnie Darko,['Richard Kelly'],2001-01-18,1270522.0,6000000.0
363676,3.97450055,Sully,['Clint Eastwood'],2016-09-07,238470033.0,60000000.0
136797,3.0799641818181818,Need for Speed,['Scott Waugh'],2014-03-13,203277636.0,66000000.0
7220,1.6575789393939393,The Punisher,['Jonathan Hensleigh'],2004-04-15,54700105.0,33000000.0
654,10.54945054945055,On the Waterfront,['Elia Kazan'],1954-06-22,9600000.0,910000.0
426,11.294876966518755,Vertigo,['Alfred Hitchcock'],1958-05-09,28000000.0,2479000.0
792,23.0884275,Platoon,['Oliver Stone'],1986-12-18,138530565.0,6000000.0
194662,5.734171888888889,Birdman,['Alejandro González Iñárritu'],2014-08-27,103215094.0,18000000.0
1535,1.5548865217391303,Spy Game,['Tony Scott'],2001-11-18,143049560.0,92000000.0
1018,1.3411559333333334,Mulholland Drive,['David Lynch'],2001-05-16,20117339.0,15000000.0
2503,6.326059114285714,The Bourne Ultimatum,['Paul Greengrass'],2007-08-03,442824138.0,70000000.0
73,1.19375635,American History X,['Tony Kaye'],1998-10-30,23875127.0,20000000.0
81870,0.0,Flying Swords of Dragon Gate,['Tsui Hark'],2011-12-15,0.0,35000000.0
703,9.56285625,Annie Hall,['Woody Allen'],1977-04-19,38251425.0,4000000.0
411,4.16003865,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",['Andrew Adamson'],2005-12-07,748806957.0,180000000.0
1271,6.501698753846154,300,['Zack Snyder'],2006-12-09,422610419.0,65000000.0
260346,6.786904666666667,Taken 3,['Olivier Megaton'],2014-12-16,325771424.0,48000000.0
5176,1.2730221818181815,3:10 to Yuma,['James Mangold'],2007-09-06,70016220.0,55000000.0
300671,1.3882274,13 Hours: The Secret Soldiers of Benghazi,['Michael Bay'],2016-01-13,69411370.0,50000000.0
8271,5.8880067,Disturbia,['D.J. Caruso'],2007-04-12,117760134.0,20000000.0
10555,4.897000253333333,Shark Tale,"['Vicky Jenson', 'Bibo Bergeron', 'Rob Letterman']",2004-09-20,367275019.0,75000000.0
808,8.073486966666668,Shrek,"['Andrew Adamson', 'Vicky Jenson']",2001-05-16,484409218.0,60000000.0
340101,0.3717623597890384,Their Finest,['Lone Scherfig'],2017-04-06,12173470.0,32745300.0
2832,3.0086512,Identity,['James Mangold'],2003-04-25,90259536.0,30000000.0
1584,3.7509414,School of Rock,['Richard Linklater'],2003-10-03,131282949.0,35000000.0
4922,2.2262138866666668,The Curious Case of Benjamin Button,['David Fincher'],2008-11-24,333932083.0,150000000.0
949,3.123946966666667,Heat,['Michael Mann'],1995-12-15,187436818.0,60000000.0
47971,4.072325388235294,xXx: Return of Xander Cage,['D.J. Caruso'],2017-01-13,346147658.0,85000000.0
567,36.764313,Rear Window,['Alfred Hitchcock'],1954-08-01,36764313.0,1000000.0
205587,1.67438776,The Judge,['David Dobkin'],2014-10-08,83719388.0,50000000.0
192102,1.8784999642857143,3 Days to Kill,['McG'],2014-02-14,52597999.0,28000000.0
92060,0.0,Michael Jackson's Thriller,['John Landis'],1983-12-02,0.0,1100000.0
75656,1.5693185866666666,Now You See Me,['Louis Leterrier'],2013-05-29,117698894.0,75000000.0
177677,4.548867593333333,Mission: Impossible - Rogue Nation,['Christopher McQuarrie'],2015-07-23,682330139.0,150000000.0
209189,0.022121,Life of Crime,['Daniel Schechter'],2013-09-14,265452.0,12000000.0
871,5.757832068965517,Planet of the Apes,['Franklin J. Schaffner'],1968-02-07,33395426.0,5800000.0
407887,0.0,Operation Chromite,['John H. Lee'],2016-07-27,0.0,0.0
9479,4.201911611111111,The Nightmare Before Christmas,['Henry Selick'],1993-10-09,75634409.0,18000000.0
8409,1.2319701666666667,A Man Apart,['F. Gary Gray'],2003-04-04,44350926.0,36000000.0
38810,0.0,Dogtooth,['Yorgos Lanthimos'],2009-06-01,110197.0,0.0
41216,1.750917375,Legend of the Guardians: The Owls of Ga'Hoole,['Zack Snyder'],2010-07-10,140073390.0,80000000.0
170,16.543977,28 Days Later,['Danny Boyle'],2002-10-31,82719885.0,5000000.0
1439,0.0,Anna and the King,['Andy Tennant'],1999-12-16,0.0,75000000.0
180863,2.300706055555556,T2 Trainspotting,['Danny Boyle'],2017-01-27,41412709.0,18000000.0
602,10.892923573333332,Independence Day,['Roland Emmerich'],1996-06-25,816969268.0,75000000.0
383785,3.910957615384616,Kung Fu Yoga,['Stanley Tong'],2017-01-27,254212245.0,65000000.0
156022,3.496922509090909,The Equalizer,['Antoine Fuqua'],2014-09-24,192330738.0,55000000.0
162,2.65,Edward Scissorhands,['Tim Burton'],1990-12-05,53000000.0,20000000.0
181283,0.0664866,Child 44,['Daniel Espinosa'],2015-03-15,3324330.0,50000000.0
283445,5.2882018,Sinister 2,['Ciaran Foy'],2015-08-19,52882018.0,10000000.0
